pre_nms_top_n=12000,post_nms_top_n=2000,nms_thresh=.5,min_size=.1,eta=1.
 
Inputs: Anchors{LoDTensor<float, (32400, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 54, 40)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 54, 40)>}, Variances{LoDTensor<float, (32400, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (34560, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 48, 48)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 48, 48)>}, Variances{LoDTensor<float, (34560, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (35280, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 42, 56)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 42, 56)>}, Variances{LoDTensor<float, (35280, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (36600, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 40, 61)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 40, 61)>}, Variances{LoDTensor<float, (36600, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (38940, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 44, 59)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 44, 59)>}, Variances{LoDTensor<float, (38940, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (38940, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 59, 44)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 59, 44)>}, Variances{LoDTensor<float, (38940, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (40320, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 42, 64)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 42, 64)>}, Variances{LoDTensor<float, (40320, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (46080, 4)>}, BboxDeltas{LoDTensor<float, (1, 60, 48, 64)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 15, 48, 64)>}, Variances{LoDTensor<float, (46080, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (2000, 1)>}, RpnRois{LoDTensor<float, (2000, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (10200, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 50, 68)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 50, 68)>}, Variances{LoDTensor<float, (10200, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (985, 1)>}, RpnRois{LoDTensor<float, (985, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (103680, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 160, 216)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 160, 216)>}, Variances{LoDTensor<float, (103680, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1284, 1)>}, RpnRois{LoDTensor<float, (1284, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (11400, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 50, 76)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 50, 76)>}, Variances{LoDTensor<float, (11400, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1056, 1)>}, RpnRois{LoDTensor<float, (1056, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
